description,measure,unit_price,normalized_description
VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 1/8,1/8,5.2024,VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 1/8
VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 5/32,5/32,4.452,VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 5/32
VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 3/16,3/16,9.7664,VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 3/16
VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 1/4,1/4,13.9328,VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 1/4
VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 5/16,5/16,25.3292,VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 5/16
VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 3/8,3/8,58.156,VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 3/8
VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 7/16,7/16,110.2453,VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 7/16
VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 1/2,1/2,168.0,VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 1/2
VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 1/2,1/2,183.68,VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 1/2
VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 9/16,9/16,358.2507,VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 9/16
VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 5/8,5/8,450.912,VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 5/8
VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 3/4,3/4,987.28,VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 3/4
VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 7/8,7/8,2067.8,VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 7/8
VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 1,,4380.32,VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 1
VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 11/8,1/8,6988.8,VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 11/8
VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 11/4,1/4,9548.0,VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 11/4
VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 11/2,1/2,20104.0,VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 11/2
VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 2,,169008.0,VARILLAS ROSCADAS - LARGOS : 1 MT - 1000 MM 2
DIÁMETRO ROSCA METRICA MA CANT 5,,15.4,DIÁMETRO ROSCA METRICA MA CANT 5
DIÁMETRO ROSCA METRICA MA CANT 6,,45.7856,DIÁMETRO ROSCA METRICA MA CANT 6
DIÁMETRO ROSCA METRICA MA CANT 7,,177.968,DIÁMETRO ROSCA METRICA MA CANT 7
DIÁMETRO ROSCA METRICA MA CANT 8,,118.6453,DIÁMETRO ROSCA METRICA MA CANT 8
DIÁMETRO ROSCA METRICA MA CANT 10,,170.6133,DIÁMETRO ROSCA METRICA MA CANT 10
DIÁMETRO ROSCA METRICA MA CANT 12,,441.056,DIÁMETRO ROSCA METRICA MA CANT 12
DIÁMETRO ROSCA METRICA MA CANT 14,,1160.768,DIÁMETRO ROSCA METRICA MA CANT 14
DIÁMETRO ROSCA METRICA MA CANT 16,,1440.32,DIÁMETRO ROSCA METRICA MA CANT 16
DIÁMETRO ROSCA METRICA MA CANT 18,,3486.9333,DIÁMETRO ROSCA METRICA MA CANT 18
DIÁMETRO ROSCA METRICA MA CANT 20,,4823.4667,DIÁMETRO ROSCA METRICA MA CANT 20
DIÁMETRO ROSCA METRICA MA CANT 22,,8624.0,DIÁMETRO ROSCA METRICA MA CANT 22
DIÁMETRO ROSCA METRICA MA CANT 24,,12208.0,DIÁMETRO ROSCA METRICA MA CANT 24
DIÁMETRO ROSCA METRICA MA CANT 27,,19973.3333,DIÁMETRO ROSCA METRICA MA CANT 27
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 3/16,3/16,0.3333,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 3/16
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 3/16,3/16,0.625,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 3/16
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1/4,1/4,0.4,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1/4
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 5/16,5/16,0.2778,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 5/16
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 3/8,3/8,0.2188,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 3/8
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 7/16,7/16,0.1429,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 7/16
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1/2,1/2,0.1167,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1/2
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1/2,1/2,0.1077,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1/2
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 9/16,9/16,0.0833,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 9/16
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 5/8,5/8,31.1821,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 5/8
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 3/4,3/4,87.412,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 3/4
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 7/8,7/8,191.9127,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 7/8
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1,,587.2957,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1
TUERCA METRICA 5,,20.0,TUERCA METRICA 5
TUERCA METRICA 6,,10.0,TUERCA METRICA 6
TUERCA METRICA 7,,10.0,TUERCA METRICA 7
TUERCA METRICA 8,,5.0,TUERCA METRICA 8
TUERCA METRICA 10,,2.3,TUERCA METRICA 10
TUERCA METRICA 12,,1.5,TUERCA METRICA 12
TUERCA METRICA 14,,1.0,TUERCA METRICA 14
TUERCA METRICA 16,,33.4903,TUERCA METRICA 16
TUERCA METRICA 18,,80.4543,TUERCA METRICA 18
TUERCA METRICA 20,,126.716,TUERCA METRICA 20
TUERCA METRICA 22,,188.2592,TUERCA METRICA 22
TUERCA METRICA 24,,292.3191,TUERCA METRICA 24
TUERCA METRICA 10,,2.3,TUERCA METRICA 10
TUERCA METRICA 14,,1.0,TUERCA METRICA 14
TUERCA PESADA 5/16,5/16,4.0,TUERCA PESADA 5/16
TUERCA PESADA 3/8,3/8,2.0,TUERCA PESADA 3/8
TUERCA PESADA 7/16,7/16,1.5,TUERCA PESADA 7/16
TUERCA PESADA 1/2,1/2,1.0,TUERCA PESADA 1/2
TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 3/16,3/16,0.4167,TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 3/16
TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 1/4,1/4,0.35,TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 1/4
TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 5/16,5/16,0.2222,TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 5/16
TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 3/8,3/8,0.175,TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 3/8
